variable,description,type,expected_values
hotel_id,Unique hotel identifier,String,
hotel_name,Hotel name,String,
country,Country where hotel is located,Categorical,Country names
city,City where hotel is located,Categorical,City names
star_rating,Official star classification,Ordinal,1-5
hotel_type,Type of hotel operation,Categorical,"Independent, Chain, Boutique, Resort, etc."
chain_affiliation,Hotel chain name if applicable,Categorical,Chain name 
rooms,Number of rooms,Numeric,Positive integer
employees,Number of employees,Numeric,Positive integer
year_opened,Year hotel opened,Numeric,Year
last_renovation,Year of last major renovation,Numeric,Year or missing if new/never renovated
occupancy_rate,Average annual proportion of rooms occupied,Numeric,
adr,Average Daily Rate in EUR,Numeric,Positive
revpar,Revenue Per Available Room (EUR),Numeric,Occupancy Ã— ADR
annual_revenue,Annual revenue in thousands EUR,Numeric,
profit_margin,Net profit margin,Numeric,
customer_satisfaction,Customer satisfaction score,Numeric,1-10 scale
online_rating,Average online review rating,Numeric,1-5 scale
n_reviews,Number of online reviews,Numeric,
